2WPmedium_1DB , editor , 0060 , 83.59715639810426 , 177 , 0 , 17639 , 0
2WPmedium_1DB , editor , 0080 , 108.3778801843318 , 243 , 0 , 23518 , 0
2WPmedium_1DB , editor , 0100 , 123.52941176470588 , 425 , 0 , 29400 , 0
2WPmedium_1DB , editor , 0120 , 132.12734082397003 , 706 , 0 , 35278 , 0
2WPmedium_1DB , editor , 0140 , 137.19333333333333 , 1012 , 0 , 41158 , 0
2WPmedium_1DB , editor , 0160 , 141.4879518072289 , 1338 , 9 , 46974 , .01915953506194916336
2WPmedium_1DB , editor , 0180 , 141.71236559139786 , 1689 , 31 , 52717 , .05880456019879735189
2WPmedium_1DB , editor , 0200 , 136.28671328671328 , 1969 , 93 , 58467 , .15906408743393709271
2WPmedium_1DB , editor , 0220 , 136.5744680851064 , 2293 , 154 , 64190 , .23991275899672846237
2WPmedium_1DB , editor , 0240 , 137.39489194499018 , 2566 , 278 , 69934 , .39751765950753567649
2WPmedium_1DB , editor , 0260 , 140.53159851301115 , 2837 , 419 , 75606 , .55418882099304288019
2WPmedium_1DB , editor , 0280 , 136.90740740740742 , 3122 , 595 , 81323 , .73165033262422684849
2WPmedium_1DB , editor , 0300 , 136.55974842767296 , 3289 , 804 , 86852 , .92571270667342145258
2WPmedium_1DB , editor , 0320 , 143.8934169278997 , 3473 , 2212 , 91804 , 2.40948106836303429044
2WPmedium_1DB , editor , 0340 , 138.9801699716714 , 3968 , 1500 , 98120 , 1.52874031797798613942
2WPmedium_1DB , editor , 0360 , 141.3910081743869 , 4157 , 1983 , 103781 , 1.91075437700542488509
2WPmedium_1DB , editor , 0380 , 140.9346153846154 , 4564 , 1803 , 109929 , 1.64014955107387495565
2WPmedium_1DB , editor , 0400 , 145.228025477707 , 4773 , 3787 , 114004 , 3.32181326970983474264
2WPmedium_1DB , editor , 0420 , 150.78867924528302 , 4744 , 4999 , 119877 , 4.17010769371939571394
2WPmedium_1DB , editor , 0440 , 157.92025316455695 , 4845 , 7330 , 124757 , 5.87542182001811521597
2WPmedium_1DB , editor , 0460 , 166.757343550447 , 4636 , 10971 , 130571 , 8.40232517174564030297
2WPmedium_1DB , editor , 0480 , 172.14795918367346 , 4800 , 13112 , 134964 , 9.71518330814143030734
2WPmedium_1DB , editor , 0500 , 170.87545344619105 , 5008 , 12703 , 141314 , 8.98920135301527095687
2WPmedium_1DB , shopmanager , 0020 , 35.724738675958186 , 79 , 12 , 10253 , .11703891543938359504
2WPmedium_1DB , shopmanager , 0040 , 68.44816053511705 , 119 , 25 , 20466 , .12215381608521450210
2WPmedium_1DB , shopmanager , 0060 , 98.77096774193548 , 156 , 36 , 30619 , .11757405532512492243
2WPmedium_1DB , shopmanager , 0080 , 122.91916167664671 , 218 , 53 , 41055 , .12909511630739252222
2WPmedium_1DB , shopmanager , 0100 , 123.34866828087166 , 394 , 62 , 50943 , .12170465029542822370
2WPmedium_1DB , shopmanager , 0120 , 127.06067415730337 , 688 , 261 , 56542 , .46160376357398040394
2WPmedium_1DB , shopmanager , 0140 , 136.07003891050584 , 876 , 120 , 69940 , .17157563625965112953
2WPmedium_1DB , shopmanager , 0160 , 129.8586030664395 , 1180 , 158 , 76227 , .20727563724139740511
2WPmedium_1DB , shopmanager , 0180 , 157.32828282828282 , 1387 , 115 , 93453 , .12305650968936256727
2WPmedium_1DB , shopmanager , 0200 , 129.5048951048951 , 1865 , 390 , 92596 , .42118450041038489783
2WPmedium_1DB , shopmanager , 0220 , 139.03674540682414 , 2101 , 357 , 105946 , .33696411379381949294
2WPmedium_1DB , shopmanager , 0240 , 138.64433617539586 , 2369 , 545 , 113827 , .47879677053774587751
2WPmedium_1DB , shopmanager , 0260 , 135.97117516629712 , 2709 , 802 , 122646 , .65391451820687180992
2WPmedium_1DB , shopmanager , 0280 , 135.009375 , 2896 , 1266 , 129609 , .97678401962826655556
2WPmedium_1DB , shopmanager , 0300 , 136.78131416837783 , 3232 , 1748 , 133225 , 1.31206605366860574216
2WPmedium_1DB , shopmanager , 0320 , 128.60152526215444 , 3632 , 2723 , 134903 , 2.01848735758285582974
2WPmedium_1DB , shopmanager , 0340 , 139.85828877005346 , 3753 , 2608 , 156921 , 1.66198278114465240471
2WPmedium_1DB , shopmanager , 0360 , 139.56650246305418 , 4091 , 2699 , 169992 , 1.58772177514235964045
2WPmedium_1DB , shopmanager , 0380 , 137.12682926829268 , 4359 , 4541 , 168666 , 2.69230313163293135545
2WPmedium_1DB , shopmanager , 0400 , 139.1472602739726 , 4622 , 8611 , 162524 , 5.29829440574930471807
2WPmedium_1DB , shopmanager , 0420 , 141.11344211344212 , 4811 , 7740 , 181613 , 4.26180945196654424518
2WPmedium_1DB , shopmanager , 0440 , 152.9760956175299 , 4589 , 13961 , 191985 , 7.27192228559522879391
2WPmedium_1DB , shopmanager , 0460 , 156.74506708760853 , 4909 , 13667 , 198596 , 6.88181030836472033676
